improving_parameter,worsening_parameter,recommended_principles,principle_names
1,2,1;8;15,"Segmentation;Anti-weight;Dynamics"
1,3,1;3;8,"Segmentation;Local quality;Anti-weight"
1,14,1;8;15;40,"Segmentation;Anti-weight;Dynamics;Composite materials"
1,19,2;15;35,"Taking out;Dynamics;Parameter changes"
1,27,13;22;35,"The other way round;Blessing in disguise;Parameter changes"
1,36,1;13;22,"Segmentation;The other way round;Blessing in disguise"
2,1,8;15;35,"Anti-weight;Dynamics;Parameter changes"
2,9,15;18;28,"Dynamics;Mechanical vibration;Mechanics substitution"
2,14,8;14;15,"Anti-weight;Spheroidality;Dynamics"
2,27,11;25;35,"Beforehand cushioning;Self-service;Parameter changes"
3,1,1;8;14,"Segmentation;Anti-weight;Spheroidality"
3,4,1;3;4,"Segmentation;Local quality;Asymmetry"
3,14,1;8;14;15,"Segmentation;Anti-weight;Spheroidality;Dynamics"
3,19,15;35;36,"Dynamics;Parameter changes;Phase transitions"
4,3,3;4;14,"Local quality;Asymmetry;Spheroidality"
4,14,4;8;14,"Asymmetry;Anti-weight;Spheroidality"
5,1,1;8;30,"Segmentation;Anti-weight;Flexible shells"
5,14,1;8;15,"Segmentation;Anti-weight;Dynamics"
5,19,15;28;35,"Dynamics;Mechanics substitution;Parameter changes"
6,1,1;7;30,"Segmentation;Nested doll;Flexible shells"
6,14,1;8;15,"Segmentation;Anti-weight;Dynamics"
7,1,1;7;8,"Segmentation;Nested doll;Anti-weight"
7,14,1;7;8;15,"Segmentation;Nested doll;Anti-weight;Dynamics"
8,1,8;15;35,"Anti-weight;Dynamics;Parameter changes"
8,14,8;14;15,"Anti-weight;Spheroidality;Dynamics"
9,1,15;18;28,"Dynamics;Mechanical vibration;Mechanics substitution"
9,14,15;28;35,"Dynamics;Mechanics substitution;Parameter changes"
9,19,15;2;35;18,"Dynamics;Taking out;Parameter changes;Mechanical vibration"
9,21,15;19;35,"Dynamics;Periodic action;Parameter changes"
9,22,15;35;36,"Dynamics;Parameter changes;Phase transitions"
9,27,13;22;28,"The other way round;Blessing in disguise;Mechanics substitution"
9,28,28;32;35,"Mechanics substitution;Color changes;Parameter changes"
9,39,15;35;36,"Dynamics;Parameter changes;Phase transitions"
10,1,1;8;15,"Segmentation;Anti-weight;Dynamics"
10,14,8;14;15,"Anti-weight;Spheroidality;Dynamics"
10,19,15;35;18,"Dynamics;Parameter changes;Mechanical vibration"
11,1,1;15;35,"Segmentation;Dynamics;Parameter changes"
11,14,8;15;35,"Anti-weight;Dynamics;Parameter changes"
12,1,1;3;15,"Segmentation;Local quality;Dynamics"
12,14,3;8;15,"Local quality;Anti-weight;Dynamics"
13,1,1;13;15,"Segmentation;The other way round;Dynamics"
13,14,8;13;15,"Anti-weight;The other way round;Dynamics"
13,27,13;22;35,"The other way round;Blessing in disguise;Parameter changes"
14,1,1;8;14;15,"Segmentation;Anti-weight;Spheroidality;Dynamics"
14,2,8;14;15,"Anti-weight;Spheroidality;Dynamics"
14,3,1;8;14,"Segmentation;Anti-weight;Spheroidality"
14,4,4;8;14,"Asymmetry;Anti-weight;Spheroidality"
14,5,1;8;14,"Segmentation;Anti-weight;Spheroidality"
14,6,1;8;14,"Segmentation;Anti-weight;Spheroidality"
14,7,1;7;8;14,"Segmentation;Nested doll;Anti-weight;Spheroidality"
14,8,8;14;15,"Anti-weight;Spheroidality;Dynamics"
14,9,15;28;35,"Dynamics;Mechanics substitution;Parameter changes"
14,10,8;14;15,"Anti-weight;Spheroidality;Dynamics"
14,11,8;15;35,"Anti-weight;Dynamics;Parameter changes"
14,12,3;8;15,"Local quality;Anti-weight;Dynamics"
14,13,8;13;15,"Anti-weight;The other way round;Dynamics"
14,17,15;35;36,"Dynamics;Parameter changes;Phase transitions"
14,19,15;35;18,"Dynamics;Parameter changes;Mechanical vibration"
14,21,15;19;35,"Dynamics;Periodic action;Parameter changes"
14,22,15;35;36,"Dynamics;Parameter changes;Phase transitions"
14,23,15;23;35,"Dynamics;Feedback;Parameter changes"
14,27,13;22;35,"The other way round;Blessing in disguise;Parameter changes"
14,28,28;32;35,"Mechanics substitution;Color changes;Parameter changes"
14,29,15;29;35,"Dynamics;Pneumatics;Parameter changes"
14,30,15;30;35,"Dynamics;Flexible shells;Parameter changes"
14,31,15;31;35,"Dynamics;Porous materials;Parameter changes"
14,32,15;32;35,"Dynamics;Color changes;Parameter changes"
14,33,15;33;35,"Dynamics;Homogeneity;Parameter changes"
14,34,15;34;35,"Dynamics;Discarding;Parameter changes"
14,36,1;13;22,"Segmentation;The other way round;Blessing in disguise"
14,37,15;35;37,"Dynamics;Parameter changes;Thermal expansion"
